,fluxes
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_LS,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,0.0
PDE4,0.0
PAPSR,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.0
MEVK1,0.0070493763988143205
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.136155675403949
GK2,0.0
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_LS,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.00028140080112155154
PPDOy,0.0
GLYCLTDy,0.0
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,0.8334225606564353
MI145P6Kn,0.0
ADK3m,0.09442957278741795
DMATT,0.0022599031091172627
PMPK,8.460500688002463e-05
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.009627889317463266
GLYTRS,0.039296297532993366
HACD4p,0.0
GAT2er_LS,0.0
DASYNer_LS,0.003235309273791685
ECOAH1p,0.0
KYN,0.04038536622962437
HSTPT,0.0054835717985813525
FACOAL141p,0.0
FE2t,-0.0002601922824652014
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.017757581571216846
AICART,0.015920691316744267
42A12BOOX,0.0
TPI,0.5354975845434402
COAtim,0.0
NADS2,0.0
ACACT4p,0.0
HISTRS,0.005398966791701328
PHETRSm,0.0
OMCDC,0.02605250569145336
DTMPK,0.00031882017486513115
ALCD23yi,0.0
FACOAL160p,0.0
PGL,0.7140335796174241
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.002276537814000726
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.0010864950704074054
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_LS,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.014844203346592014
MALtm,0.0
AMID,0.0
PNTK,4.6766586717726655e-05
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.0
UDPG4E,0.0
SHK3Dr,0.01919872188199988
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,4.6766586717726655e-05
IPC324PLCg_LS,0.0
GARFT,0.010437119518162915
PYDAMK,0.0
HKYNH,0.00010221839668300703
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_LS,0.0
ACP1e,0.0
FTHFLi,0.0
ASAD,-0.04404947278207438
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
C22STDSrx,0.0005362258474941
NTRLASE2,0.0
DHAD2m,0.017947344903621935
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
CPPPGO,4.196845639202945e-05
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_LS,0.0
ALCD2x,0.0
PTE7x,0.0
NDPK3,0.003430849944185688
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,0.0
C4STMO2er,0.0010864950704074054
URIDK2r,-0.0006002209759866827
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-0.44701680616656747
HSERTA,0.009907123248695297
CITtam,-0.5086422772935041
PHETRS,0.009627889317463266
FMNAT,4.561260600638802e-05
TYRTRS,0.006910140645355345
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.04404947278207438
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.03414234953337908
GTPt2m,0.09442957278741795
PPCDC,4.6766586717726655e-05
ATPATF1,0.0
PRATPP,0.0054835717985813525
ASPTRS,0.018162261876809527
TYRt6,0.0
PSERDv_LS,0.0
IMPC,-0.015920691316744267
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
SUCRe,0.0
TYRt7,0.0
RPE,0.4238454775228209
HEX4,0.0
ILEt7,0.0
DHQTi,0.01919872188199988
ORNt3m,0.013240575706070241
LEUTAm,-0.8050300871810467
ECOAH6m,0.0
NADH2_u9cm,0.0
OMCDCm,0.0
CHLPCTD,0.0
NDPK2,0.11220338214049089
CERS2p26er,0.0
PYK,1.1610576751102806
FAS180COA,0.03284336652786836
PPCOAOm,0.012384342277080407
GHMT2r,0.04994878629417689
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.0070493763988143205
FAS80COA_L,0.05659551399638208
DHFS,0.000236991196587117
ACGKm,0.013240575706070241
PGCD,0.136155675403949
PPBNGS,0.0001678738255681178
PRMICI,0.0054835717985813525
PPNCL3,4.6766586717726655e-05
PGM,-1.1994551188742804
CYTK2,0.00028140080112155154
MIP2C224PLCg_LS,0.0
ASP1DC,4.6766586717726655e-05
ETHAPTer_LS,0.0
PGMT,-0.10180891573775759
GTHRDabcv,0.0
DOLPMMer,0.049070964726241194
DADK,0.0
DTTGY,0.0
ZYMSTt,0.0
ADNCYC,0.00010883860181550908
URIt2,0.0
ASPCT,0.009111573065500186
CYSTRS,0.003579105325193505
ARGt2r,0.0
ACITL,0.5086422772935041
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_LS,0.0
ALKP,0.0
3HPCOAHYDm,0.012384342277080407
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0018831143132197873
PHETA1,-0.009627889317463266
HEX10,0.0
16GS,0.010769373147833144
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,0.4904312318974671
BTDD_RR,0.0
HMGCOAS,-0.0070493763988143205
GTPCI,0.000236991196587117
MTHFDm,0.0
LEUTRS,0.02605250569145336
PMETMer_LS,0.0015287725139894776
G3PD1ir,0.019758495922084934
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,-0.10621892820579731
ASPTA,-0.11702108034937564
MIPCS326g_LS,0.0
PRAMPC,0.0054835717985813525
ADSL1r,0.010839741955498439
ARGN,0.0
ICDHyp,0.0
TKT2,0.20232337782041052
SAM24MTer,0.0005362258474941
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
MTHFD,0.03823625354033143
ATP2tp_H,0.0
GLUDC,0.0
METt2r,0.0
HBCO_nadp,0.0
VALTAm,-0.024352383034569387
GTHRDt2,0.0
METSOXR1,0.0
PLDn_LS,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,8.460500688002463e-05
ALCD2y,0.0
IG3PS,0.0054835717985813525
AGATer_LS,0.01966072558688793
DCTPD,0.0
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.012384342277080407
LCYSTCBOXL,0.0
DHAK,0.0
GRTT,0.0022149585972068403
ILETRS,0.017947344903621935
IPCS124g_LS,0.0
