,fluxes
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_LS,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,0.0
PDE4,0.0
PAPSR,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.0
MEVK1,0.00711984601805223
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.13784157688118917
GK2,0.0
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_LS,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.0002842138453096323
PPDOy,0.0
GLYCLTDy,0.0
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,0.994176740916557
MI145P6Kn,0.0
ADK3m,0.09537354508548558
DMATT,0.0022824943998363757
PMPK,8.545076716904238e-05
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.00972413523424826
GLYTRS,0.03968912591495853
HACD4p,0.0
GAT2er_LS,0.0
DASYNer_LS,0.0032676512853034166
ECOAH1p,0.0
KYN,0.04078908156839768
HSTPT,0.005538388734838972
FACOAL141p,0.0
FE2t,-0.0002627933141078087
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.017935096565609862
AICART,0.016079843700108284
42A12BOOX,0.0
TPI,0.7035949214408009
COAtim,0.0
NADS2,0.0
ACACT4p,0.0
HISTRS,0.005452937967669929
PHETRSm,0.0
OMCDC,0.026312941516185174
DTMPK,0.00032200728462591634
ALCD23yi,0.0
FACOAL160p,0.0
PGL,0.202949159516436
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.0022992953947933077
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.001097356299767829
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_LS,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.014992594537322075
MALtm,0.0
AMID,0.0
PNTK,4.723409240493803e-05
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.0
UDPG4E,0.0
SHK3Dr,0.019390643343464742
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,4.723409240493803e-05
IPC324PLCg_LS,0.0
GARFT,0.010541454965269313
PYDAMK,0.0
HKYNH,0.00010324023054221129
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_LS,0.0
ACP1e,0.0
FTHFLi,0.0
ASAD,-0.04448981663647626
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
C22STDSrx,0.0005415862693471295
NTRLASE2,0.0
DHAD2m,0.018126756881382464
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
CPPPGO,4.238799721019977e-05
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_LS,0.0
ALCD2x,-1.035794998398102
PTE7x,0.0
NDPK3,0.0034651466926569198
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,0.0
C4STMO2er,0.001097356299767829
URIDK2r,-0.0006062211299355486
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-0.4514854431553397
HSERTA,0.010006160548391017
CITtam,-0.5137269579207445
PHETRS,0.00972413523424826
FMNAT,4.6068575839160684e-05
TYRTRS,0.006979218383953684
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.04448981663647626
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.03448365608808524
GTPt2m,0.09537354508548558
PPCDC,4.723409240493803e-05
ATPATF1,0.0
PRATPP,0.005538388734838972
ASPTRS,0.018343822288191907
TYRt6,0.0
PSERDv_LS,0.0
IMPC,-0.016079843700108284
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
SUCRe,0.0
TYRt7,0.0
RPE,0.08260094041056171
HEX4,0.0
ILEt7,0.0
DHQTi,0.019390643343464742
ORNt3m,0.01337293611296445
LEUTAm,0.0
ECOAH6m,0.0
NADH2_u9cm,0.0
OMCDCm,0.0
CHLPCTD,0.0
NDPK2,0.11332503165518784
CERS2p26er,0.0
PYK,1.3250870843351117
FAS180COA,0.03317168770165323
PPCOAOm,0.01250814328236231
GHMT2r,0.05077291414669323
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.007119846018052233
FAS80COA_L,0.05716127529160385
DHFS,0.00023936029683675752
ACGKm,0.01337293611296445
PGCD,0.13784157688118917
PPBNGS,0.00016955198884079908
PRMICI,0.005538388734838972
PPNCL3,4.723409240493803e-05
PGM,-1.3638683710220412
CYTK2,0.0002842138453096323
MIP2C224PLCg_LS,0.0
ASP1DC,4.723409240493803e-05
ETHAPTer_LS,0.0
PGMT,-0.10282665619041254
GTHRDabcv,0.0
DOLPMMer,0.049561506301021734
DADK,0.0
DTTGY,0.0
ZYMSTt,0.0
ADNCYC,0.00010992661505163242
URIt2,0.0
ASPCT,0.009202657588195329
CYSTRS,0.0036148841196867575
ARGt2r,0.0
ACITL,0.5137269579207445
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_LS,0.0
ALKP,0.0
3HPCOAHYDm,0.01250814328236231
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0019019390065155486
PHETA1,-0.00972413523424826
HEX10,0.0
16GS,0.01087702999323672
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,0.4953338644452209
BTDD_RR,0.0
HMGCOAS,-0.00711984601805223
GTPCI,0.00023936029683675752
MTHFDm,0.0
LEUTRS,0.026312941516185174
PMETMer_LS,0.0015440550029455706
G3PD1ir,0.01995601320667444
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,-0.10728075367844936
ASPTA,-0.11819089034511192
MIPCS326g_LS,0.0
PRAMPC,0.005538388734838972
ADSL1r,0.01094810224796
ARGN,0.0
ICDHyp,0.0
TKT2,0.03160514853354848
SAM24MTer,0.0005415862693471295
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
MTHFD,0.038943296181791015
ATP2tp_H,0.0
GLUDC,0.0
METt2r,0.0
HBCO_nadp,0.0
VALTAm,0.0
GTHRDt2,0.0
METSOXR1,0.0
PLDn_LS,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,8.545076716904238e-05
ALCD2y,1.035794998398102
IG3PS,0.005538388734838972
AGATer_LS,0.019857265502997688
DCTPD,0.0
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.01250814328236231
LCYSTCBOXL,0.0
DHAK,0.0
GRTT,0.0022371005967458577
ILETRS,0.018126756881382464
IPCS124g_LS,0.0
UREASE,0.0
