LocusTag	CycId
Lipst1_1_2452	G1IA6-18788-MONOMER
Lipst1_1_66171	G1IA6-23492-MONOMER
Lipst1_1_72639	G1IA6-21346-MONOMER
Lipst1_1_45489	G1IA6-19613-MONOMER
Lipst1_1_2522	G1IA6-18841-MONOMER
Lipst1_1_111440	G1IA6-19896-MONOMER
Lipst1_1_6619	G1IA6-23493-MONOMER
Lipst1_1_117454	G1IA6-19897-MONOMER
Lipst1_1_66199	G1IA6-23494-MONOMER
Lipst1_1_117465	G1IA6-19898-MONOMER
Lipst1_1_66204	G1IA6-23495-MONOMER
Lipst1_1_306050	G1IA6-20563-MONOMER
Lipst1_1_260711	G1IA6-19311-MONOMER
Lipst1_1_117466	G1IA6-19899-MONOMER
Lipst1_1_6621	G1IA6-23496-MONOMER
Lipst1_1_72643	G1IA6-21347-MONOMER
Lipst1_1_70995	G1IA6-19825-MONOMER
Lipst1_1_117584	G1IA6-19900-MONOMER
Lipst1_1_2524	G1IA6-18843-MONOMER
Lipst1_1_6623	G1IA6-23497-MONOMER
Lipst1_1_117633	G1IA6-19901-MONOMER
Lipst1_1_74019	G1IA6-22250-MONOMER
Lipst1_1_75312	G1IA6-23498-MONOMER
Lipst1_1_117679	G1IA6-19902-MONOMER
Lipst1_1_66838	G1IA6-24495-MONOMER
Lipst1_1_75314	G1IA6-23499-MONOMER
Lipst1_1_304048	G1IA6-20557-MONOMER
Lipst1_1_117694	G1IA6-19903-MONOMER
Lipst1_1_75319	G1IA6-23500-MONOMER
Lipst1_1_117734	G1IA6-19904-MONOMER
Lipst1_1_252766	G1IA6-18845-MONOMER
Lipst1_1_75322	G1IA6-23501-MONOMER
Lipst1_1_117795	G1IA6-19905-MONOMER
Lipst1_1_74023	G1IA6-22251-MONOMER
Lipst1_1_75335	G1IA6-23502-MONOMER
Lipst1_1_117871	G1IA6-19906-MONOMER
Lipst1_1_252963	G1IA6-18846-MONOMER
Lipst1_1_75337	G1IA6-23503-MONOMER
Lipst1_1_304056	G1IA6-20558-MONOMER
Lipst1_1_117880	G1IA6-19907-MONOMER
Lipst1_1_70362	G1IA6-19679-MONOMER
Lipst1_1_52192	G1IA6-19632-MONOMER
Lipst1_1_75350	G1IA6-23504-MONOMER
Lipst1_1_72651	G1IA6-21348-MONOMER
Lipst1_1_117895	G1IA6-19908-MONOMER
Lipst1_1_252986	G1IA6-18847-MONOMER
Lipst1_1_75352	G1IA6-23505-MONOMER
Lipst1_1_27533	G1IA6-19909-MONOMER
Lipst1_1_117442	G1IA6-19304-MONOMER
Lipst1_1_27553	G1IA6-19910-MONOMER
Lipst1_1_75357	G1IA6-23506-MONOMER
Lipst1_1_60100	G1IA6-24494-MONOMER
Lipst1_1_27561	G1IA6-19911-MONOMER
Lipst1_1_75368	G1IA6-23507-MONOMER
Lipst1_1_304123	G1IA6-20559-MONOMER
Lipst1_1_2969	G1IA6-19509-MONOMER
Lipst1_1_27597	G1IA6-19912-MONOMER
Lipst1_1_75369	G1IA6-23508-MONOMER
Lipst1_1_72658	G1IA6-21349-MONOMER
Lipst1_1_253278	G1IA6-18849-MONOMER
Lipst1_1_27601	G1IA6-19913-MONOMER
Lipst1_1_75376	G1IA6-23509-MONOMER
Lipst1_1_304224	G1IA6-20560-MONOMER
Lipst1_1_74045	G1IA6-22253-MONOMER
Lipst1_1_3174	G1IA6-19571-MONOMER
Lipst1_1_27636	G1IA6-19914-MONOMER
Lipst1_1_75380	G1IA6-23510-MONOMER
Lipst1_1_70087	G1IA6-19175-MONOMER
Lipst1_1_75385	G1IA6-23511-MONOMER
Lipst1_1_277289	G1IA6-19916-MONOMER
Lipst1_1_75387	G1IA6-23512-MONOMER
Lipst1_1_72664	G1IA6-21350-MONOMER
Lipst1_1_277305	G1IA6-19917-MONOMER
Lipst1_1_75388	G1IA6-23513-MONOMER
Lipst1_1_306807	G1IA6-20564-MONOMER
Lipst1_1_277474	G1IA6-19918-MONOMER
Lipst1_1_74046	G1IA6-22254-MONOMER
Lipst1_1_75396	G1IA6-23514-MONOMER
Lipst1_1_253502	G1IA6-18852-MONOMER
Lipst1_1_27751	G1IA6-19919-MONOMER
Lipst1_1_111023	G1IA6-19295-MONOMER
Lipst1_1_221134	G1IA6-17501-MONOMER
Lipst1_1_277522	G1IA6-19920-MONOMER
Lipst1_1_75404	G1IA6-23515-MONOMER
Lipst1_1_305714	G1IA6-20561-MONOMER
Lipst1_1_72673	G1IA6-21351-MONOMER
Lipst1_1_75406	G1IA6-23516-MONOMER
Lipst1_1_27755	G1IA6-19921-MONOMER
Lipst1_1_253560	G1IA6-18853-MONOMER
Lipst1_1_277561	G1IA6-19922-MONOMER
Lipst1_1_75419	G1IA6-23517-MONOMER
Lipst1_1_71677	G1IA6-20380-MONOMER
Lipst1_1_74049	G1IA6-22255-MONOMER
Lipst1_1_277618	G1IA6-19923-MONOMER
Lipst1_1_75427	G1IA6-23518-MONOMER
Lipst1_1_253586	G1IA6-18854-MONOMER
Lipst1_1_42388	G1IA6-19604-MONOMER
Lipst1_1_277624	G1IA6-19924-MONOMER
Lipst1_1_75429	G1IA6-23519-MONOMER
Lipst1_1_305924	G1IA6-20562-MONOMER
Lipst1_1_277630	G1IA6-19925-MONOMER
Lipst1_1_75437	G1IA6-23520-MONOMER
Lipst1_1_72675	G1IA6-21352-MONOMER
Lipst1_1_253691	G1IA6-18855-MONOMER
Lipst1_1_277849	G1IA6-19926-MONOMER
Lipst1_1_41166	G1IA6-18958-MONOMER
Lipst1_1_75438	G1IA6-23521-MONOMER
Lipst1_1_277867	G1IA6-19927-MONOMER
Lipst1_1_97767	G1IA6-22262-MONOMER
Lipst1_1_75439	G1IA6-23522-MONOMER
Lipst1_1_27787	G1IA6-19928-MONOMER
Lipst1_1_75443	G1IA6-23523-MONOMER
Lipst1_1_3273	G1IA6-20067-MONOMER
Lipst1_1_75445	G1IA6-23524-MONOMER
Lipst1_1_277918	G1IA6-19930-MONOMER
Lipst1_1_75450	G1IA6-23525-MONOMER
Lipst1_1_27794	G1IA6-19931-MONOMER
Lipst1_1_85453	G1IA6-22257-MONOMER
Lipst1_1_70914	G1IA6-19806-MONOMER
Lipst1_1_69949	G1IA6-19146-MONOMER
