LocusTag	CycId
YalifMt45	G1FV3-31359-MONOMER
YALI0F26565g	G1FV3-26815-MONOMER
YALI0F29337g	G1FV3-26934-MONOMER
YALI0B19272r	G1FV3-30223-MONOMER
YALI0C14344g	G1FV3-28913-MONOMER
YALI0D02321g	G1FV3-27160-MONOMER
YALI0E24453g	G1FV3-25110-MONOMER
YALI0E00814g	G1FV3-24048-MONOMER
YALI0A15059g	G1FV3-31038-MONOMER
YALI0D11572g	G1FV3-27581-MONOMER
YALI0C08473g	G1FV3-28656-MONOMER
YALI0D17974g	G1FV3-27859-MONOMER
YALI0E31933g	G1FV3-25458-MONOMER
YALI0A11605g	G1FV3-30904-MONOMER
YALI0B08987g	G1FV3-29755-MONOMER
YALI0F15895g	G1FV3-26336-MONOMER
YALI0C20823g	G1FV3-29199-MONOMER
YalifMp06	G1FV3-31320-MONOMER
YALI0B03982g	G1FV3-29537-MONOMER
YALI0A02112g	G1FV3-30505-MONOMER
YALI0A01111g	G1FV3-30463-MONOMER
YALI0E28853g	G1FV3-25311-MONOMER
YALI0B15774g	G1FV3-30062-MONOMER
YALI0D21340g	G1FV3-28013-MONOMER
YALI0D23749g	G1FV3-28121-MONOMER
YALI0D04488g	G1FV3-27252-MONOMER
YALI0F15389g	G1FV3-26312-MONOMER
YALI0E33495g	G1FV3-25535-MONOMER
YALI0F29359g	G1FV3-26935-MONOMER
YALI0C16797g	G1FV3-29023-MONOMER
YALI0F24321g	G1FV3-26715-MONOMER
YALI0D22825g	G1FV3-28079-MONOMER
YALI0C09416r	G1FV3-28702-MONOMER
YALI0F07084g	G1FV3-25941-MONOMER
YALI0E03322g	G1FV3-24162-MONOMER
YALI0E14234g	G1FV3-24649-MONOMER
YALI0D11594g	G1FV3-27582-MONOMER
YALI0E17875g	G1FV3-24811-MONOMER
YALI0B07579g	G1FV3-29697-MONOMER
YALI0A20614g	G1FV3-31276-MONOMER
YALI0E02376g	G1FV3-24121-MONOMER
YALI0A03839g	G1FV3-30576-MONOMER
YALI0E09735g	G1FV3-24445-MONOMER
YALI0B01188g	G1FV3-29419-MONOMER
YALI0C00297g	G1FV3-28294-MONOMER
YALI0F19778g	G1FV3-26513-MONOMER
YALI0B18326g	G1FV3-30179-MONOMER
YALI0B19316g	G1FV3-30224-MONOMER
YALI0F05698g	G1FV3-25873-MONOMER
YALI0F13453g	G1FV3-26225-MONOMER
YALI0B04004g	G1FV3-29538-MONOMER
YALI0D11616g	G1FV3-27583-MONOMER
YALI0C04213g	G1FV3-28467-MONOMER
YALI0E30855g	G1FV3-25404-MONOMER
YALI0E33099g	G1FV3-25515-MONOMER
YALI0F21791g	G1FV3-26604-MONOMER
YALI0B21868g	G1FV3-30340-MONOMER
YALI0F29381g	G1FV3-26936-MONOMER
YALI0C09438g	G1FV3-28703-MONOMER
YALI0F13123g	G1FV3-26208-MONOMER
YALI0E22132g	G1FV3-25001-MONOMER
YALI0E24475g	G1FV3-25111-MONOMER
YALI0F23045g	G1FV3-26658-MONOMER
YALI0A09130r	G1FV3-30795-MONOMER
