PlateType,Experiment,Well,Row,Column,Compound,SigGrowth?,,,,,,,,,
PM1,Carbon,A1,1,1,Negative Control,FALSE,,,,,,,,,
PM1,Carbon,A2,1,2,L-Arabinose  ,FALSE,,,,,,,,,
PM1,Carbon,A3,1,3,N-Acetyl-DGlucosamine  ,FALSE,,,,,,,,,
PM1,Carbon,A4,1,4,D-Saccharic Acid,FALSE,,,,,,,,,
PM1,Carbon,A5,1,5,Succinic Acid,TRUE,,,,,,,,,
PM1,Carbon,A6,1,6,D-Galactose  ,TRUE,,,,,,,,,
PM1,Carbon,A7,1,7,L-Aspartic Acid,FALSE,,,,,,,,,
PM1,Carbon,A8,1,8,L-Proline  ,FALSE,,,,,,,,,
PM1,Carbon,A9,1,9,D-Alanine  ,FALSE,,,,,,,,,
PM1,Carbon,A10,1,10,D-Trehalose  ,FALSE,,,,,,,,,
PM1,Carbon,A11,1,11,D-Mannose  ,TRUE,,,,,,,,,
PM1,Carbon,A12,1,12,Dulcitol  ,TRUE,,,,,,,,,
PM1,Carbon,B1,2,1,D-Serine  ,FALSE,,,,,,,,,
PM1,Carbon,B2,2,2,D-Sorbitol  ,TRUE,,,,,,,,,
PM1,Carbon,B3,2,3,Glycerol  ,FALSE,,,,,,,,,
PM1,Carbon,B4,2,4,L-Fucose  ,FALSE,,,,,,,,,
PM1,Carbon,B5,2,5,D-Glucuronic Acid,FALSE,,,,,,,,,
PM1,Carbon,B6,2,6,D-Gluconic Acid,FALSE,,,,,,,,,
PM1,Carbon,B7,2,7,"D,L-a-GlycerolPhosphate  ",FALSE,,,,,,,,,
PM1,Carbon,B8,2,8,D-Xylose  ,TRUE,,,,,,,,,
PM1,Carbon,B9,2,9,L-Lactic Acid,FALSE,,,,,,,,,
PM1,Carbon,B10,2,10,Formic Acid,FALSE,,,,,,,,,
PM1,Carbon,B11,2,11,D--Mannitol  ,TRUE,,,,,,,,,
PM1,Carbon,B12,2,12,L-Glutamic Acid,FALSE,,,,,,,,,
PM1,Carbon,C1,3,1,D--Glucose-6- Phosphate,FALSE,,,,,,,,,
PM1,Carbon,C2,3,2,D--Galactonic Acid-g-Lactone,TRUE,,,,,,,,,
PM1,Carbon,C3,3,3,"D-,L-Malic Acid",FALSE,,,,,,,,,
PM1,Carbon,C4,3,4,D--Ribose  ,FALSE,,,,,,,,,
PM1,Carbon,C5,3,5,Tween 20,TRUE,,,,,,,,,
PM1,Carbon,C6,3,6,L-Rhamnose  ,TRUE,,,,,,,,,
PM1,Carbon,C7,3,7,D--Fructose  ,TRUE,,,,,,,,,
PM1,Carbon,C8,3,8,Acetic Acid,TRUE,,,,,,,,,
PM1,Carbon,C9,3,9,a-D-Glucose  ,TRUE,,,,,,,,,
PM1,Carbon,C10,3,10,Maltose  ,TRUE,,,,,,,,,
PM1,Carbon,C11,3,11,D--Melibiose  ,TRUE,,,,,,,,,
PM1,Carbon,C12,3,12,Thymidine  ,FALSE,,,,,,,,,
PM1,Carbon,D1,4,1,L-Asparagine  ,FALSE,,,,,,,,,
PM1,Carbon,D2,4,2,D-Aspartic Acid,FALSE,,,,,,,,,
PM1,Carbon,D3,4,3,D--Glucosaminic Acid,FALSE,,,,,,,,,
PM1,Carbon,D4,4,4,"1,2-Propanediol  ",FALSE,,,,,,,,,
PM1,Carbon,D5,4,5,Tween 40,FALSE,,,,,,,,,
PM1,Carbon,D6,4,6,a-Keto-Glutaric Acid,TRUE,,,,,,,,,
PM1,Carbon,D7,4,7,a-Keto-Butyric Acid,FALSE,,,,,,,,,
PM1,Carbon,D8,4,8,a-Methyl-DGalactoside  ,TRUE,,,,,,,,,
PM1,Carbon,D9,4,9,a-D-Lactose  ,FALSE,,,,,,,,,
PM1,Carbon,D10,4,10,Lactulose  ,TRUE,,,,,,,,,
PM1,Carbon,D11,4,11,Sucrose  ,TRUE,,,,,,,,,
PM1,Carbon,D12,4,12,Uridine  ,FALSE,,,,,,,,,
PM1,Carbon,E1,5,1,L-Glutamine  ,FALSE,,,,,,,,,
PM1,Carbon,E2,5,2,m-Tartaric Acid,FALSE,,,,,,,,,
PM1,Carbon,E3,5,3,D--Glucose-1- Phosphate,FALSE,,,,,,,,,
PM1,Carbon,E4,5,4,D--Fructose-6- Phosphate,FALSE,,,,,,,,,
PM1,Carbon,E5,5,5,Tween 80,TRUE,,,,,,,,,
PM1,Carbon,E6,5,6,a-Hydroxy Glutaric Acid-g- Lactone,FALSE,,,,,,,,,
PM1,Carbon,E7,5,7,a-Hydroxy Butyric Acid,FALSE,,,,,,,,,
PM1,Carbon,E8,5,8,b-Methyl-DGlucoside  ,TRUE,,,,,,,,,
PM1,Carbon,E9,5,9,Adonitol  ,FALSE,,,,,,,,,
PM1,Carbon,E10,5,10,Maltotriose  ,TRUE,,,,,,,,,
PM1,Carbon,E11,5,11,2-Deoxy Adenosine,FALSE,,,,,,,,,
PM1,Carbon,E12,5,12,Adenosine  ,FALSE,,,,,,,,,
PM1,Carbon,F1,6,1,Glycyl-L-Aspartic Acid,FALSE,,,,,,,,,
PM1,Carbon,F2,6,2,Citric Acid,FALSE,,,,,,,,,
PM1,Carbon,F3,6,3,m-Inositol  ,TRUE,,,,,,,,,
PM1,Carbon,F4,6,4,D--Threonine  ,FALSE,,,,,,,,,
PM1,Carbon,F5,6,5,Fumaric Acid,TRUE,,,,,,,,,
PM1,Carbon,F6,6,6,Bromo Succinic Acid,TRUE,,,,,,,,,
PM1,Carbon,F7,6,7,Propionic Acid,FALSE,,,,,,,,,
PM1,Carbon,F8,6,8,Mucic Acid,FALSE,,,,,,,,,
PM1,Carbon,F9,6,9,Glycolic Acid,FALSE,,,,,,,,,
PM1,Carbon,F10,6,10,Glyoxylic Acid,FALSE,,,,,,,,,
PM1,Carbon,F11,6,11,D--Cellobiose  ,TRUE,,,,,,,,,
PM1,Carbon,F12,6,12,Inosine  ,FALSE,,,,,,,,,
PM1,Carbon,G1,7,1,Glycyl-LGlutamic Acid,FALSE,,,,,,,,,
PM1,Carbon,G2,7,2,Tricarballylic Acid,FALSE,,,,,,,,,
PM1,Carbon,G3,7,3,L-Serine  ,FALSE,,,,,,,,,
PM1,Carbon,G4,7,4,L-Threonine  ,FALSE,,,,,,,,,
PM1,Carbon,G5,7,5,L-Alanine  ,FALSE,,,,,,,,,
PM1,Carbon,G6,7,6,L-Alanyl-Glycine  ,FALSE,,,,,,,,,
PM1,Carbon,G7,7,7,Acetoacetic Acid,FALSE,,,,,,,,,
PM1,Carbon,G8,7,8,N-Acetyl-b-DMannosamine  ,FALSE,,,,,,,,,
PM1,Carbon,G9,7,9,Mono Methyl Succinate,TRUE,,,,,,,,,
PM1,Carbon,G10,7,10,Methyl Pyruvate,FALSE,,,,,,,,,
PM1,Carbon,G11,7,11,D--Malic Acid,FALSE,,,,,,,,,
PM1,Carbon,G12,7,12,L-Malic Acid,TRUE,,,,,,,,,
PM1,Carbon,H1,8,1,Glycyl-L-Proline  ,FALSE,,,,,,,,,
PM1,Carbon,H2,8,2,p-Hydroxy Phenyl Acetic Acid,FALSE,,,,,,,,,
PM1,Carbon,H3,8,3,m-Hydroxy Phenyl Acetic Acid,FALSE,,,,,,,,,
PM1,Carbon,H4,8,4,Tyramine  ,FALSE,,,,,,,,,
PM1,Carbon,H5,8,5,D--Psicose  ,TRUE,,,,,,,,,
PM1,Carbon,H6,8,6,L-Lyxose  ,FALSE,,,,,,,,,
PM1,Carbon,H7,8,7,Glucuronamide  ,FALSE,,,,,,,,,
PM1,Carbon,H8,8,8,Pyruvic Acid,FALSE,,,,,,,,,
PM1,Carbon,H9,8,9,L-Galactonic Acid-g-Lactone,FALSE,,,,,,,,,
PM1,Carbon,H10,8,10,D--Galacturonic Acid,FALSE,,,,,,,,,
PM1,Carbon,H11,8,11,Phenylethylamine  ,FALSE,,,,,,,,,
PM1,Carbon,H12,8,12,2-Aminoethanol  ,FALSE,,,,,,,,,
PM2,Carbon,A1,1,1,Negative Control,FALSE,,,,,,,,,
PM2,Carbon,A2,1,2,Chondroitin Sulfate C,FALSE,,,,,,,,,
PM2,Carbon,A3,1,3,a-Cyclodextrin,FALSE,,,,,,,,,
PM2,Carbon,A4,1,4,b-Cyclodextrin,FALSE,,,,,,,,,
PM2,Carbon,A5,1,5,g-Cyclodextrin,TRUE,,,,,,,,,
