proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathwayClass	pathwayType
1366	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
1366	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
1366	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
1829	1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase.	3-hydroxyanthranilate + O(2) = 2-amino-3-carboxymuconate semialdehyde.	Iron.		Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
17420	1.3.3.6	Acyl-CoA oxidase.	Acyl-CoA + O(2) = trans-2,3-dehydroacyl-CoA + H(2)O(2).	FAD.		Fatty acid metabolism	Lipid Metabolism	METABOLIC
28365	3.1.2.12	S-formylglutathione hydrolase.	S-formylglutathione + H(2)O = glutathione + formate.			Methane metabolism	Energy Metabolism	METABOLIC
37230	2.3.1.12	Dihydrolipoamide S-acetyltransferase.	Acetyl-CoA + dihydrolipoamide = CoA + S-acetyldihydrolipoamide.	Lipoyl group.		Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
37230	2.3.1.12	Dihydrolipoamide S-acetyltransferase.	Acetyl-CoA + dihydrolipoamide = CoA + S-acetyldihydrolipoamide.	Lipoyl group.		Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
88200	1.6.5.3	NADH dehydrogenase (ubiquinone).	NADH + ubiquinone = NAD(+) + ubiquinol.	FAD; Iron-sulfur.		Oxidative phosphorylation	Energy Metabolism	METABOLIC
88200	1.6.5.3	NADH dehydrogenase (ubiquinone).	NADH + ubiquinone = NAD(+) + ubiquinol.	FAD; Iron-sulfur.		Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
88200	1.6.99.3	NADH dehydrogenase.	NADH + acceptor = NAD(+) + reduced acceptor.	Flavoprotein; Iron-sulfur.				
98238	2.1.1.297							
101091	2.3.1.48	Histone acetyltransferase.	Acetyl-CoA + histone = CoA + acetyl-histone.					
103525	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.			Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
103525	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.			Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
