#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
14897	14737	KOG0299	U3 snoRNP-associated protein (contains WD40 repeats)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
16989	16829	KOG0343	RNA Helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
19448	19288	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71376	71216	KOG0128	RNA-binding protein SART3 (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71957	71797	KOG1960	Predicted RNA-binding protein, contains KH domains	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
77766	77606	KOG0335	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
85747	85587	KOG3454	U1 snRNP-specific protein C	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
85832	85672	KOG0284	Polyadenylation factor I complex, subunit PFS2	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
100520	100360	KOG3026	Splicing factor SPF30	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
108158	107998	KOG1896	mRNA cleavage and polyadenylation factor II complex, subunit CFT1 (CPSF subunit)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
127291	127131	KOG1996	mRNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
134862	134702	KOG1994	Predicted RNA binding protein, contains G-patch and Zn-finger domains	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
148023	147863	KOG2669	Regulator of nuclear mRNA	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
150115	149955	KOG3909	Queuine-tRNA ribosyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
156510	156350	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
159184	159024	KOG2047	mRNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
173290	173130	KOG0796	Spliceosome subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
174152	173992	KOG0132	RNA polymerase II C-terminal domain-binding protein RA4, contains RPR and RRM domains	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
195323	195163	KOG3293	Small nuclear ribonucleoprotein (snRNP)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
199671	199511	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
203351	203191	KOG2412	Nuclear-export-signal (NES)-containing protein/polyadenylated-RNA export factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
252506	252346	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
254366	254206	KOG4689	Predicted RNase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
255645	255485	KOG0108	mRNA cleavage and polyadenylation factor I complex, subunit RNA15	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
256369	256209	KOG0952	DNA/RNA helicase MER3/SLH1, DEAD-box superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
256390	256230	KOG2651	rRNA adenine N-6-methyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
256852	256692	KOG0333	U5 snRNP-like RNA helicase subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
258773	258613	KOG3167	Box H/ACA snoRNP component, involved in ribosomal RNA pseudouridinylation	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
259774	259614	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
261164	261004	KOG0347	RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
265993	265833	KOG3242	Oligoribonuclease (3'->5' exoribonuclease)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
267155	266995	KOG2749	mRNA cleavage and polyadenylation factor IA/II complex, subunit CLP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
268693	268533	KOG0285	Pleiotropic regulator 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
268783	268623	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
270474	270314	KOG0213	Splicing factor 3b, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
270491	270331	KOG0272	U4/U6 small nuclear ribonucleoprotein Prp4 (contains WD40 repeats)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
270677	270517	KOG1272	WD40-repeat-containing subunit of the 18S rRNA processing complex	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
270814	270654	KOG1040	Polyadenylation factor I complex, subunit, Yth1 (CPSF subunit)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
271988	271828	KOG1909	Ran GTPase-activating protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
272563	272403	KOG3763	mRNA export factor TAP/MEX67	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
274706	274546	KOG0340	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
278593	278433	KOG2386	mRNA capping enzyme, guanylyltransferase (alpha) subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
280143	279983	KOG0344	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
281178	281018	KOG0816	Protein involved in mRNA turnover	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
282962	282802	KOG0342	ATP-dependent RNA helicase pitchoune	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
