#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
7395	7201	KOG1446	Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
36253	36059	KOG1782	Small Nuclear ribonucleoprotein splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
39813	39619	KOG1802	RNA helicase nonsense mRNA reducing factor (pNORF1)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
44450	44256	KOG0123	Polyadenylate-binding protein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
54212	54018	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
54770	54576	KOG0128	RNA-binding protein SART3 (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
56964	56770	KOG1975	mRNA cap methyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
66789	66595	KOG3460	Small nuclear ribonucleoprotein (snRNP) LSM3	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73260	73066	KOG0333	U5 snRNP-like RNA helicase subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
78247	78053	KOG1070	rRNA processing protein Rrp5	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
84952	84758	KOG4689	Predicted RNase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
85094	84900	KOG1856	Transcription elongation factor SPT6	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
94448	94254	KOG0952	DNA/RNA helicase MER3/SLH1, DEAD-box superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
95159	94965	KOG2245	Poly(A) polymerase and related nucleotidyltransferases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
157516	157322	KOG3702	Nuclear polyadenylated RNA binding protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
182297	182103	KOG4209	Splicing factor RNPS1, SR protein superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
182906	182712	KOG2375	Protein interacting with poly(A)-binding protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
183871	183677	KOG2190	PolyC-binding proteins alphaCP-1 and related KH domain proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
201936	201742	KOG0108	mRNA cleavage and polyadenylation factor I complex, subunit RNA15	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
227224	227030	KOG2047	mRNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
230209	230015	KOG0342	ATP-dependent RNA helicase pitchoune	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
259242	259048	KOG0132	RNA polymerase II C-terminal domain-binding protein RA4, contains RPR and RRM domains	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
260343	260149	KOG0113	U1 small nuclear ribonucleoprotein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
268802	268608	KOG0839	RNA Methylase, SpoU family	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
272140	271946	KOG3911	Nucleolar protein NOP52/RRP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
292522	292328	KOG3428	Small nuclear ribonucleoprotein SMD1 and related snRNPs	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
294192	293998	KOG2044	5'-3' exonuclease HKE1/RAT1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
335948	335754	KOG2217	U4/U6.U5 snRNP associated protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
344411	344217	KOG2441	mRNA splicing factor/probable chromatin binding snw family nuclear protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
344770	344576	KOG0105	Alternative splicing factor ASF/SF2 (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
345103	344909	KOG2184	Tuftelin-interacting protein TIP39, contains G-patch domain	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
346841	346647	KOG1295	Nonsense-mediated decay protein Upf3	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
348872	348678	KOG2793	Putative N2,N2-dimethylguanosine tRNA methyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
353646	353452	KOG0920	ATP-dependent RNA helicase A	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
353930	353736	KOG0924	mRNA splicing factor ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
354135	353941	KOG4205	RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex, subunit HRP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
354443	354249	KOG1642	Ribonuclease, T2 family	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
355393	355199	KOG0670	U4/U6-associated splicing factor PRP4	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
357101	356907	KOG3167	Box H/ACA snoRNP component, involved in ribosomal RNA pseudouridinylation	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
359798	359604	KOG2386	mRNA capping enzyme, guanylyltransferase (alpha) subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
363208	363014	KOG0988	RNA-directed RNA polymerase QDE-1 required for posttranscriptional gene silencing and RNA interference	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
363388	363194	KOG1689	mRNA cleavage factor I subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
367542	367348	KOG0334	RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
367760	367566	KOG2808	U5 snRNP-associated RNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
376274	376080	KOG0923	mRNA splicing factor ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
376716	376522	KOG1609	Protein involved in mRNA turnover and stability	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
378147	377953	KOG0299	U3 snoRNP-associated protein (contains WD40 repeats)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
379716	379522	KOG2781	U3 small nucleolar ribonucleoprotein (snoRNP) component	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
380995	380801	KOG3763	mRNA export factor TAP/MEX67	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
382055	381861	KOG3980	RNA 3'-terminal phosphate cyclase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
389719	389525	KOG2146	Splicing coactivator SRm160/300, subunit SRm160 (contains PWI domain)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
389848	389654	KOG1098	Putative SAM-dependent rRNA methyltransferase SPB1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
389980	389786	KOG0152	Spliceosomal protein FBP11/Splicing factor PRP40	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
390089	389895	KOG0335	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
392894	392700	KOG0344	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
393081	392887	KOG1040	Polyadenylation factor I complex, subunit, Yth1 (CPSF subunit)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
393136	392942	KOG2771	Subunit of tRNA-specific adenosine-34 deaminase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
393381	393187	KOG2669	Regulator of nuclear mRNA	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
396686	396492	KOG0227	Splicing factor 3a, subunit 2	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
397350	397156	KOG3392	Exon-exon junction complex, Magoh component	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
397454	397260	KOG3013	Exosomal 3'-5' exoribonuclease complex, subunit Rrp4	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
397738	397544	KOG2190	PolyC-binding proteins alphaCP-1 and related KH domain proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
397944	397750	KOG0340	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
398523	398329	KOG0326	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
398723	398529	KOG0701	dsRNA-specific nuclease Dicer and related ribonucleases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
398899	398705	KOG1774	Small nuclear ribonucleoprotein E	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
398942	398748	KOG2253	U1 snRNP complex, subunit SNU71 and related PWI-motif proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399446	399252	KOG0348	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399638	399444	KOG0925	mRNA splicing factor ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399641	399447	KOG3482	Small nuclear ribonucleoprotein (snRNP) SMF	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399661	399467	KOG1676	K-homology type RNA binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399727	399533	KOG4206	Spliceosomal protein snRNP-U1A/U2B	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399730	399536	KOG2793	Putative N2,N2-dimethylguanosine tRNA methyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399764	399570	KOG3242	Oligoribonuclease (3'->5' exoribonuclease)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399782	399588	KOG4353	RNA export factor NXT1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399791	399597	KOG0319	WD40-repeat-containing subunit of the 18S rRNA processing complex	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
400216	400022	KOG0265	U5 snRNP-specific protein-like factor and related proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
400310	400116	KOG1780	Small Nuclear ribonucleoprotein G	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
400457	400263	KOG2863	RNA lariat debranching enzyme	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
400849	400655	KOG2937	Decapping enzyme complex, predicted pyrophosphatase DCP2	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
400870	400676	KOG0816	Protein involved in mRNA turnover	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
400877	400683	KOG3080	Nucleolar protein-like/EBNA1-binding protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
400902	400708	KOG0007	Splicing factor 3a, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
401008	400814	KOG1104	Nuclear cap-binding complex, subunit NCBP1/CBP80	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
401130	400936	KOG3322	Ribonucleases P/MRP protein subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
401150	400956	KOG1596	Fibrillarin and related nucleolar RNA-binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
401282	401088	KOG2071	mRNA cleavage and polyadenylation factor I/II complex, subunit Pcf11	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
401433	401239	KOG2560	RNA splicing factor - Slu7p	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
401654	401460	KOG1049	Polyadenylation factor I complex, subunit FIP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
401777	401583	KOG2634	Initiator tRNA phosphoribosyl-transferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402008	401814	KOG1996	mRNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402032	401838	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402074	401880	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402102	401908	KOG0291	WD40-repeat-containing subunit of the 18S rRNA processing complex	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402137	401943	KOG0647	mRNA export protein (contains WD40 repeats)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402184	401990	KOG0285	Pleiotropic regulator 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402411	402217	KOG0346	RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402451	402257	KOG0063	RNAse L inhibitor, ABC superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402604	402410	KOG1137	mRNA cleavage and polyadenylation factor II complex, BRR5 (CPSF subunit)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402632	402438	KOG0329	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402900	402706	KOG1801	tRNA-splicing endonuclease positive effector (SEN1)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
402963	402769	KOG0951	RNA helicase BRR2, DEAD-box superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403101	402907	KOG1902	Putative signal transduction protein involved in RNA splicing	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403105	402911	KOG1783	Small nuclear ribonucleoprotein F	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403250	403056	KOG2573	Ribosome biogenesis protein - Nop56p/Sik1p	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403335	403141	KOG2386	mRNA capping enzyme, guanylyltransferase (alpha) subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403510	403316	KOG0796	Spliceosome subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403563	403369	KOG4008	rRNA processing protein RRP7	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403749	403555	KOG3117	Protein involved in rRNA processing	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403764	403570	KOG0213	Splicing factor 3b, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403788	403594	KOG1895	mRNA cleavage and polyadenylation factor II complex, subunit PTA1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403798	403604	KOG0272	U4/U6 small nuclear ribonucleoprotein Prp4 (contains WD40 repeats)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403928	403734	KOG1914	mRNA cleavage and polyadenylation factor I complex, subunit RNA14	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
403981	403787	KOG1898	Splicing factor 3b, subunit 3	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
404228	404034	KOG3064	RNA-binding nuclear protein (MAK16) containing a distinct C4 Zn-finger	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
404296	404102	KOG2217	U4/U6.U5 snRNP associated protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
404524	404330	KOG3448	Predicted snRNP core protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
404665	404471	KOG2078	tRNA modification enzyme	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
404755	404561	KOG1802	RNA helicase nonsense mRNA reducing factor (pNORF1)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
404779	404585	KOG1135	mRNA cleavage and polyadenylation factor II complex, subunit CFT2 (CPSF subunit)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
404831	404637	KOG0284	Polyadenylation factor I complex, subunit PFS2	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
405116	404922	KOG1909	Ran GTPase-activating protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
405285	405091	KOG1258	mRNA processing protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
405550	405356	KOG0131	Splicing factor 3b, subunit 4	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
405587	405393	KOG2162	Nonsense-mediated mRNA decay protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
405995	405801	KOG3801	Uncharacterized conserved protein BCN92	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
406161	405967	KOG0127	Nucleolar protein fibrillarin NOP77 (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
406212	406018	KOG2051	Nonsense-mediated mRNA decay 2 protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
