proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathwayClass	pathwayType
5434	3.2.1.6	Endo-1,3(4)-beta-glucanase.	Endohydrolysis of 1,3- or 1,4-linkages in beta-D-glucans when the glucose residue whose reducing group is involved in the linkage to be hydrolysed is itself substituted at C-3.					
7121	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).			Glutamate metabolism	Amino Acid Metabolism	METABOLIC
7121	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).			Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
7121	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
11825	2.7.11.22							
12425	3.1.4.46	Glycerophosphodiester phosphodiesterase.	A glycerophosphodiester + H(2)O = an alcohol + sn-glycerol 3-phosphate.			Phospholipid degradation	Metabolism of Complex Lipids	METABOLIC
12425	3.1.4.46	Glycerophosphodiester phosphodiesterase.	A glycerophosphodiester + H(2)O = an alcohol + sn-glycerol 3-phosphate.			Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
15916	1.17.4.1	Ribonucleoside-diphosphate reductase.	"2'-deoxyribonucleoside diphosphate + oxidized thioredoxin + H(2)O = ribonucleoside diphosphate + reduced thioredoxin."	Iron; ATP.		Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
15916	1.17.4.1	Ribonucleoside-diphosphate reductase.	"2'-deoxyribonucleoside diphosphate + oxidized thioredoxin + H(2)O = ribonucleoside diphosphate + reduced thioredoxin."	Iron; ATP.		Purine metabolism	Nucleotide Metabolism	METABOLIC
16251	3.6.3.2	Magnesium-importing ATPase.	ATP + H(2)O + Mg(2+)(Out) = ADP + phosphate + Mg(2+)(In).	Magnesium.				
17507	2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase.	Acyl-CoA + 1-acyl-sn-glycerol 3-phosphate = CoA + 1,2-diacyl-sn-glycerol 3-phosphate.			Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
17507	3.1.1.13	Sterol esterase.	A steryl ester + H(2)O = a sterol + a fatty acid.			Bile acid biosynthesis	Lipid Metabolism	METABOLIC
17507	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.		Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
17507	3.1.1.4	Phospholipase A2.	Phosphatidylcholine + H(2)O = 1-acylglycerophosphocholine + a fatty acid anion.	Calcium.		Phospholipid degradation	Metabolism of Complex Lipids	METABOLIC
17507	3.1.1.4	Phospholipase A2.	Phosphatidylcholine + H(2)O = 1-acylglycerophosphocholine + a fatty acid anion.	Calcium.		Prostaglandin and leukotriene metabolism	Metabolism of Complex Lipids	METABOLIC
17507	3.1.1.4	Phospholipase A2.	Phosphatidylcholine + H(2)O = 1-acylglycerophosphocholine + a fatty acid anion.	Calcium.		Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
17781	3.5.2.2	Dihydropyrimidinase.	5,6-dihydrouracil + H(2)O = 3-ureidopropionate.		Dihydropyrimidinase deficiency; MIM:222748.	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
17781	3.5.2.2	Dihydropyrimidinase.	5,6-dihydrouracil + H(2)O = 3-ureidopropionate.		Dihydropyrimidinase deficiency; MIM:222748.	Pantothenate and CoA biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
17781	3.5.2.2	Dihydropyrimidinase.	5,6-dihydrouracil + H(2)O = 3-ureidopropionate.		Dihydropyrimidinase deficiency; MIM:222748.	beta-Alanine metabolism	Metabolism of Other Amino Acids	METABOLIC
18932	3.5.1.16	Acetylornithine deacetylase.	N2-acetyl-L-ornithine + H(2)O = acetate + L-ornithine.			Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
18969	2.1.1.43	Histone-lysine N-methyltransferase.	S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine.			Lysine degradation	Amino Acid Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Fatty acid biosynthesis (path 2)	Lipid Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Propanoate metabolism	Carbohydrate Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Fatty acid metabolism	Lipid Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Synthesis and degradation of ketone bodies	Lipid Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
19905	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Lysine degradation	Amino Acid Metabolism	METABOLIC
23373	1.4.3.5	Pyridoxamine-phosphate oxidase.	"Pyridoxamine 5'-phosphate + H(2)O + O(2) = pyridoxal 5'-phosphate + NH(3) + H(2)O(2)."	FMN.		Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
27744	3.1.3.48	Protein-tyrosine-phosphatase.	Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate.					
29779	2.7.11.1							
30438	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
30438	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
30438	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
32774	2.1.1.45	Thymidylate synthase.	5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP.			One carbon pool by folate	Metabolism of Cofactors and Vitamins	METABOLIC
32774	2.1.1.45	Thymidylate synthase.	5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP.			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
32774	2.1.1.45	Thymidylate synthase.	5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP.			Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
34806	3.1.1.8	Cholinesterase.	An acylcholine + H(2)O = choline + a carboxylic acid anion.		Drug induced (postanesthetic) apnea; MIM:177400.			
38333	3.6.4.7	Peroxisome-assembly ATPase.	ATP + H(2)O = ADP + phosphate.					
42565	1.14.11.27							
42960	3.4.22.68							
50338	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).			Purine metabolism	Nucleotide Metabolism	METABOLIC
