transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
376197	376007	KOG0001	Ubiquitin and ubiquitin-like proteins	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
376197	376007	KOG0001	Ubiquitin and ubiquitin-like proteins	General function prediction only 	POORLY CHARACTERIZED
373545	373355	KOG0002	60s ribosomal protein L39	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
373800	373610	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
418815	418625	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
370737	370547	KOG0004	Ubiquitin/40S ribosomal protein S27a fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
364311	364121	KOG0005	Ubiquitin-like protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
364311	364121	KOG0005	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
343146	342956	KOG0007	Splicing factor 3a, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
305174	304984	KOG0008	Transcription initiation factor TFIID, subunit TAF1	Transcription 	INFORMATION STORAGE AND PROCESSING
378958	378768	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
378958	378768	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
364330	364140	KOG0010	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
364330	364140	KOG0010	Ubiquitin-like protein	General function prediction only 	POORLY CHARACTERIZED
330401	330211	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
375456	375266	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
321396	321206	KOG0012	DNA damage inducible protein	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
399272	399082	KOG0012	DNA damage inducible protein	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
393374	393184	KOG0014	MADS box transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
362404	362214	KOG0015	Regulator of arginine metabolism and related MADS box-containing transcription factors	Transcription 	INFORMATION STORAGE AND PROCESSING
53218	53218	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
286371	286181	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
328690	328500	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
