,Lst,Rto,Sce,Yli,s2,s3,s4
Lst|G1IA6-22289-MONOMER,Lipst1_1_113024,10878,YML069W,YALI0D25058g,1.447,1.776,1.588
Lst|G1IA6-16751-MONOMER,Lipst1_1_441,14212,,YALI0F19734g,1.055,,1.272
Lst|G1IA6-23047-MONOMER,Lipst1_1_175925,12668,YKL046C,YALI0D02563g,0.159,1.579,1.284
Lst|G1IA6-17901-MONOMER,Lipst1_1_91016,,,YALI0E00396g,,,0.895
Lst|G1IA6-17478-MONOMER,Lipst1_1_216198,14598,,YALI0F31955g,0.53,,0.583
Lst|G1IA6-22826-MONOMER,Lipst1_1_5997,9658,YPL046C,YALI0A03575g,0.188,0.193,0.261
Lst|G1IA6-19963-MONOMER,Lipst1_1_282527,11755,,YALI0D10813g,0.171,,0.63
Lst|G1IA6-20457-MONOMER,Lipst1_1_111640,,YPR129W,,,0.236,
Lst|G1IA6-23953-MONOMER,Lipst1_1_6884,15451,YIL110W,YALI0F05258g,0.456,0.404,0.364
Lst|G1IA6-16514-MONOMER,Lipst1_1_128732,13775,,YALI0B03190g,0.397,,0.72
Lst|G1IA6-21094-MONOMER,Lipst1_1_322121,11229,,,0.311,,
Lst|G1IA6-20859-MONOMER,Lipst1_1_72178,11671,,YALI0E26851g,0.602,,0.821
Lst|G1IA6-18916-MONOMER,Lipst1_1_2613,14865,YDR415C,YALI0B05104g,1.039,1.114,1.24
Lst|G1IA6-18367-MONOMER,Lipst1_1_61794,,,YALI0F15059g,,,0.078
Lst|G1IA6-22744-MONOMER,Lipst1_1_44468,,YLR451W,YALI0D13904g,,0.884,0.896
Lst|G1IA6-20897-MONOMER,Lipst1_1_72320,9959,YMR105C,YALI0E02090g,1.944,1.801,1.588
Lst|G1IA6-17439-MONOMER,Lipst1_1_210681,16807,,YALI0A21076g,0.179,,0.15
Lst|G1IA6-19824-MONOMER,Lipst1_1_70985,11874,YIR030C,YALI0E22627g,0.416,0.359,0.738
Lst|G1IA6-20733-MONOMER,Lipst1_1_46542,16411,YOR307C,YALI0B10714g,0.878,0.49,0.989
Lst|G1IA6-22920-MONOMER,Lipst1_1_74719,14170,YBR070C,YALI0B11440g,0.358,0.18,0.399
Lst|G1IA6-16633-MONOMER,Lipst1_1_151,11629,YMR118C,YALI0E29667g,0.277,0.279,0.504
Lst|G1IA6-16924-MONOMER,Lipst1_1_66950,13827,YPR135W,YALI0A20636g,1.124,0.765,0.655
Lst|G1IA6-18055-MONOMER,Lipst1_1_1638,13854,,YALI0D09735g,0.134,,0.569
Lst|G1IA6-18974-MONOMER,Lipst1_1_50734,,,YALI0C09823g,,,1.383
Lst|G1IA6-22176-MONOMER,Lipst1_1_73728,14435,,YALI0E08448g,0.334,,0.422
Lst|G1IA6-22605-MONOMER,Lipst1_1_74430,,YPR153W,YALI0E12276g,,0.322,0.347
Lst|G1IA6-20856-MONOMER,Lipst1_1_72166,9772,,,0.853,,
Lst|G1IA6-17245-MONOMER,Lipst1_1_102327,,YDL106C,YALI0A18469g,,0.137,0.306
Lst|G1IA6-20867-MONOMER,Lipst1_1_72194,12569,YML009C,YALI0C15323g,0.093,0.156,0.131
Lst|G1IA6-24419-MONOMER,Lipst1_1_7375,11864,,,0.306,,
Lst|G1IA6-20879-MONOMER,Lipst1_1_72252,16385,,YALI0A04961g,0.24,,0.222
Lst|G1IA6-21189-MONOMER,Lipst1_1_4436,8611,,YALI0D11125g,0.156,,0.142
