transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
390406	390230	KOG0001	Ubiquitin and ubiquitin-like proteins	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
390406	390230	KOG0001	Ubiquitin and ubiquitin-like proteins	General function prediction only 	POORLY CHARACTERIZED
437333	437157	KOG0002	60s ribosomal protein L39	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
167573	167573	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
219132	219132	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
420555	420379	KOG0004	Ubiquitin/40S ribosomal protein S27a fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
466431	466255	KOG0005	Ubiquitin-like protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
466431	466255	KOG0005	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
439019	438843	KOG0007	Splicing factor 3a, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
379100	378924	KOG0008	Transcription initiation factor TFIID, subunit TAF1	Transcription 	INFORMATION STORAGE AND PROCESSING
446239	446063	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
446239	446063	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
440580	440404	KOG0010	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
440580	440404	KOG0010	Ubiquitin-like protein	General function prediction only 	POORLY CHARACTERIZED
445028	444852	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
498685	498509	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
