#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
508779	508569	KOG0001	Ubiquitin and ubiquitin-like proteins	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
508779	508569	KOG0001	Ubiquitin and ubiquitin-like proteins	General function prediction only 	POORLY CHARACTERIZED
497567	497357	KOG0002	60s ribosomal protein L39	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
45111	44901	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
522643	522433	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
500800	500590	KOG0004	Ubiquitin/40S ribosomal protein S27a fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
493018	492808	KOG0005	Ubiquitin-like protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
493018	492808	KOG0005	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
39491	39281	KOG0007	Splicing factor 3a, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
502848	502638	KOG0008	Transcription initiation factor TFIID, subunit TAF1	Transcription 	INFORMATION STORAGE AND PROCESSING
505923	505713	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
505923	505713	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
508938	508728	KOG0010	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
508938	508728	KOG0010	Ubiquitin-like protein	General function prediction only 	POORLY CHARACTERIZED
276975	276765	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
499229	499019	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
72602	72392	KOG0012	DNA damage inducible protein	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
497155	496945	KOG0012	DNA damage inducible protein	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
512246	512036	KOG0015	Regulator of arginine metabolism and related MADS box-containing transcription factors	Transcription 	INFORMATION STORAGE AND PROCESSING
493475	493265	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
494694	494484	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
496033	495823	KOG0018	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
521126	520916	KOG0019	Molecular chaperone (HSP90 family)	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
522031	521821	KOG0021	Glutathione synthetase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
472072	471862	KOG0022	Alcohol dehydrogenase, class III	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
505472	505262	KOG0022	Alcohol dehydrogenase, class III	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
118052	117842	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
492160	491950	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
492334	492124	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
498493	498283	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
520362	520152	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
526819	526609	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
191107	190897	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
492790	492580	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
494970	494760	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
497105	496895	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
499403	499193	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
501754	501544	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
507739	507529	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
521927	521717	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
522409	522199	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
501880	501670	KOG0025	Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)	Energy production and conversion 	METABOLISM
501880	501670	KOG0025	Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)	Transcription 	INFORMATION STORAGE AND PROCESSING
521456	521246	KOG0027	Calmodulin and related proteins (EF-Hand superfamily)	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
529438	529228	KOG0027	Calmodulin and related proteins (EF-Hand superfamily)	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
495125	494915	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
507616	507406	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
495125	494915	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
507616	507406	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
482261	482051	KOG0029	Amine oxidase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
500702	500492	KOG0029	Amine oxidase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
504106	503896	KOG0029	Amine oxidase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
493729	493519	KOG0031	Myosin regulatory light chain, EF-Hand protein superfamily	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
463652	463442	KOG0032	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
496787	496577	KOG0032	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
503692	503482	KOG0032	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
506589	506379	KOG0032	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
513768	513558	KOG0032	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
504371	504161	KOG0034	Ca2+/calmodulin-dependent protein phosphatase (calcineurin subunit B), EF-Hand superfamily protein	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
511543	511333	KOG0035	Ca2+-binding actin-bundling protein (actinin), alpha chain (EF-Hand protein superfamily)	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
497976	497766	KOG0036	Predicted mitochondrial carrier protein	Nucleotide transport and metabolism 	METABOLISM
456976	456766	KOG0037	Ca2+-binding protein, EF-Hand protein superfamily	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
135391	135181	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
455287	455077	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
457151	456941	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
457412	457202	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
459301	459091	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
461836	461626	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
473954	473744	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
491490	491280	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
502714	502504	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
504792	504582	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
507426	507216	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
507924	507714	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
512911	512701	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
528072	527862	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
532909	532699	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
135391	135181	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
455287	455077	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
457151	456941	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
457412	457202	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
459301	459091	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
461836	461626	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
473954	473744	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
491490	491280	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
502714	502504	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
504792	504582	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
