#proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type
89	3.7.1.5	Acylpyruvate hydrolase.	A 3-acylpyruvate + H(2)O = a fatty acid anion + pyruvate.	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
312	1.14.13.7	Phenol 2-monooxygenase.	Phenol + NADPH + O(2) = catechol + NADP(+) + H(2)O.	FAD.	\N	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
312	1.14.13.7	Phenol 2-monooxygenase.	Phenol + NADPH + O(2) = catechol + NADP(+) + H(2)O.	FAD.	\N	Toluene and xylene degradation	Biodegradation of Xenobiotics	METABOLIC
312	1.14.13.7	Phenol 2-monooxygenase.	Phenol + NADPH + O(2) = catechol + NADP(+) + H(2)O.	FAD.	\N	Nitorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC
341	6.2.1.12	4-coumarate--CoA ligase.	ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
721	5.3.4.1	Protein disulfide isomerase.	Rearrangement of both intrachain and interchain disulfide bonds in proteins to form the native structures.	\N	\N	\N	\N	\N
1003	2.3.1.88	Peptide alpha-N-acetyltransferase.	Acetyl-CoA + peptide = CoA + N-acetylpeptide.	\N	\N	\N	\N	\N
1006	2.4.1.16	Chitin synthase.	UDP-N-acetyl-D-glucosamine + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N) = UDP + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N+1).	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
1112	3.4.23.24	Candidapepsin.	Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16-Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.	\N	\N	\N	\N	\N
3042	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
3250	4.2.1.3	Aconitate hydratase.	Citrate = cis-aconitate + H(2)O.	Iron-sulfur.	\N	Glyoxylate and dicarboxylate metabolism	Carbohydrate Metabolism	METABOLIC
3250	4.2.1.3	Aconitate hydratase.	Citrate = cis-aconitate + H(2)O.	Iron-sulfur.	\N	Reductive carboxylate cycle (CO2 fixation)	Energy Metabolism	METABOLIC
3250	4.2.1.3	Aconitate hydratase.	Citrate = cis-aconitate + H(2)O.	Iron-sulfur.	\N	Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Bile acid biosynthesis	Lipid Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Nucleotide sugars metabolism	Nucleotide Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Tetrachloroethene degradation	Biodegradation of Xenobiotics	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
3294	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
4150	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).	\N	\N	\N	\N	\N
4997	3.6.4.-	Acting on acid anhydrides; involved in cellular and	\N	\N	\N	\N	\N	\N
5406	2.1.1.56	mRNA (guanine-N7-)-methyltransferase.	S-adenosyl-L-methionine + G(5')PPPR-RNA = S-adenosyl-L-homocysteine + m7G(5')PPPR-RNA.	\N	\N	\N	\N	\N
6025	5.3.3.-	Transposing C==C bonds.	\N	\N	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC
6025	5.3.3.-	Transposing C==C bonds.	\N	\N	\N	Benzoate degradation via hydroxylation	Biodegradation of Xenobiotics	METABOLIC
6388	3.2.1.58	Glucan 1,3-beta-glucosidase.	Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	O-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Peptidoglycan biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series	Metabolism of Complex Lipids	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - neolact series	Metabolism of Complex Lipids	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Chondroitin / heparan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Keratan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
7291	2.4.1.-	Hexosyltransferases.	\N	\N	\N	N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
10979	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N
11023	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
11023	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
11023	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
11023	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
14285	2.7.1.48	Uridine kinase.	ATP + uridine = ADP + UMP.	\N	Immunodeficiency disease; MIM:191710.	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
14620	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).	\N	\N	\N	\N	\N
15593	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
15641	2.1.1.77	Protein-L-isoaspartate(D-aspartate) O-methyltransferase.	S-adenosyl-L-methionine + protein L-beta-aspartate = S-adenosyl-L- homocysteine + protein L-beta-aspartate methyl ester.	\N	\N	\N	\N	\N
15837	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
15837	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
16040	2.1.1.43	Histone-lysine N-methyltransferase.	S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine.	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	O-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Peptidoglycan biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series	Metabolism of Complex Lipids	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - neolact series	Metabolism of Complex Lipids	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
16599	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
