#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
41215	41215	KOG3449	60S acidic ribosomal protein P2	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
162919	162919	KOG3449	60S acidic ribosomal protein P2	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
56471	56471	KOG3448	Predicted snRNP core protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
30156	30156	KOG3446	NADH:ubiquinone oxidoreductase NDUFA2/B8 subunit	Energy production and conversion 	METABOLISM
10255	10255	KOG3445	Mitochondrial/chloroplast ribosomal protein 36a	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
160349	160349	KOG3442	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
35937	35937	KOG3440	Ubiquinol cytochrome c reductase, subunit QCR7	Energy production and conversion 	METABOLISM
26872	26872	KOG3439	Protein conjugation factor involved in autophagy	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
163048	163048	KOG0505	Myosin phosphatase, regulatory subunit	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
38031	38031	KOG3438	DNA-directed RNA polymerase, subunit L	Transcription 	INFORMATION STORAGE AND PROCESSING
168284	168284	KOG3436	60S ribosomal protein L35	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
159379	159379	KOG3435	Mitochondrial/chloroplast ribosomal protein L54/L37	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
173141	173141	KOG3434	60S ribosomal protein L22	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
163048	163048	KOG0505	Myosin phosphatase, regulatory subunit	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
10551	10551	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Transcription 	INFORMATION STORAGE AND PROCESSING
159555	159555	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Transcription 	INFORMATION STORAGE AND PROCESSING
172680	172680	KOG3432	Vacuolar H+-ATPase V1 sector, subunit F	Energy production and conversion 	METABOLISM
173923	173923	KOG3431	Apoptosis-related protein/predicted DNA-binding protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
160590	160590	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
160792	160792	KOG3429	Predicted peptidyl-tRNA hydrolase	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
160603	160603	KOG3428	Small nuclear ribonucleoprotein SMD1 and related snRNPs	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
161973	161973	KOG3426	NADH:ubiquinone oxidoreductase, NDUFA6/B14 subunit	Energy production and conversion 	METABOLISM
152346	152346	KOG3423	Transcription initiation factor TFIID, subunit TAF10 (also component of histone acetyltransferase SAGA)	Transcription 	INFORMATION STORAGE AND PROCESSING
159956	159956	KOG3422	Mitochondrial ribosomal protein L16	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
13325	13325	KOG3421	60S ribosomal protein L14	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
11103	11103	KOG3419	Mitochondrial/chloroplast ribosomal protein S16	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
37836	37836	KOG3417	Ras1 guanine nucleotide exchange factor	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
163581	163581	KOG3417	Ras1 guanine nucleotide exchange factor	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
171300	171300	KOG3417	Ras1 guanine nucleotide exchange factor	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
58343	58343	KOG3418	60S ribosomal protein L27	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
10551	10551	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
159555	159555	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
6166	6166	KOG3413	Mitochondrial matrix protein frataxin, involved in Fe/S protein biosynthesis	Inorganic ion transport and metabolism 	METABOLISM
178290	178290	KOG3411	40S ribosomal protein S19	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
8742	8742	KOG3409	Exosomal 3'-5' exoribonuclease complex, subunit ski4 (Csl4)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
158841	158841	KOG3408	U1-like Zn-finger-containing protein, probabl erole in RNA processing/splicing	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
180488	180488	KOG3405	RNA polymerase subunit K	Transcription 	INFORMATION STORAGE AND PROCESSING
163597	163597	KOG3406	40S ribosomal protein S12	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
10685	10685	KOG3404	G10 protein/predicted nuclear transcription regulator	Transcription 	INFORMATION STORAGE AND PROCESSING
160184	160184	KOG3403	Translation initiation factor 1A (eIF-1A)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
10491	10491	KOG3401	60S ribosomal protein L26	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
39685	39685	KOG3399	Predicted Yippee-type zinc-binding protein	General function prediction only 	POORLY CHARACTERIZED
161930	161930	KOG3399	Predicted Yippee-type zinc-binding protein	General function prediction only 	POORLY CHARACTERIZED
47941	47941	KOG3400	RNA polymerase subunit 8	Transcription 	INFORMATION STORAGE AND PROCESSING
160645	160645	KOG3398	Transcription factor MBF1	Transcription 	INFORMATION STORAGE AND PROCESSING
169865	169865	KOG3396	Glucosamine-phosphate N-acetyltransferase	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
6205	6205	KOG3394	Protein OS-9	General function prediction only 	POORLY CHARACTERIZED
161588	161588	KOG3393	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
178827	178827	KOG3389	NADH:ubiquinone oxidoreductase, NDUFS4/18 kDa subunit	Energy production and conversion 	METABOLISM
