transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
615555	615363	KOG0001	Ubiquitin and ubiquitin-like proteins	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
615555	615363	KOG0001	Ubiquitin and ubiquitin-like proteins	General function prediction only 	POORLY CHARACTERIZED
589704	589512	KOG0002	60s ribosomal protein L39	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
530912	530720	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
608994	608802	KOG0003	Ubiquitin/60s ribosomal protein L40 fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
541845	541653	KOG0004	Ubiquitin/40S ribosomal protein S27a fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
599380	599188	KOG0005	Ubiquitin-like protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
599380	599188	KOG0005	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
566389	566197	KOG0007	Splicing factor 3a, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
529198	529006	KOG0008	Transcription initiation factor TFIID, subunit TAF1	Transcription 	INFORMATION STORAGE AND PROCESSING
595944	595752	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
595944	595752	KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
586041	585849	KOG0010	Ubiquitin-like protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
586041	585849	KOG0010	Ubiquitin-like protein	General function prediction only 	POORLY CHARACTERIZED
593230	593038	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
624290	624098	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
310458	310266	KOG0012	DNA damage inducible protein	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
441525	441333	KOG0012	DNA damage inducible protein	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
595051	594859	KOG0014	MADS box transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
594096	593904	KOG0015	Regulator of arginine metabolism and related MADS box-containing transcription factors	Transcription 	INFORMATION STORAGE AND PROCESSING
579033	578841	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
587863	587671	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
633911	633719	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
646162	645970	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
568199	568007	KOG0018	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
641122	640930	KOG0019	Molecular chaperone (HSP90 family)	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
616086	615894	KOG0021	Glutathione synthetase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
596078	595886	KOG0022	Alcohol dehydrogenase, class III	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
539181	538989	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
583140	582948	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
591537	591345	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
598386	598194	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
603645	603453	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
613357	613165	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
573771	573579	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
605579	605387	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
610570	610378	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
616585	616393	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
618320	618128	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
634377	634185	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
567890	567698	KOG0025	Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)	Energy production and conversion 	METABOLISM
567890	567698	KOG0025	Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)	Transcription 	INFORMATION STORAGE AND PROCESSING
590902	590710	KOG0027	Calmodulin and related proteins (EF-Hand superfamily)	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
598557	598365	KOG0027	Calmodulin and related proteins (EF-Hand superfamily)	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
194120	193928	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
604451	604259	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
604455	604263	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
194120	193928	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
604451	604259	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
604455	604263	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
608553	608361	KOG0029	Amine oxidase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
630428	630236	KOG0029	Amine oxidase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
